id,name,breed_group,life_span,temperament,origin,bred_for,weight_metric,height_metric,reference_image_id,image_url
9,Alaskan Malamute,Working,10-14,"Affectionate, friendly, loyal, playful, intelligent, energetic, outgoing","Alaska, United States",,Male: 36-41; Female: 32-36,Male: 61-66; Female: 56-61,,https://cdn4.thedogapi.com/optimized/lIQGuA1243.jpg
351,Alopekis,Primitive,,"Intelligent, alert, loyal, adaptable, energetic, playful",Greece,,3-7,20-32,,https://cdn4.thedogapi.com/optimized/WTParPlD3L.jpg
352,Alpine Dachsbracke,Hound,12-14,"Intelligent, courageous, loyal, work-focused, energetic",Austria,,15-18,34-42,,https://cdn2.thedogapi.com/images/rk9k4aTNm.gif
10,American Bulldog,Working,10-12,"Confident, loyal, protective, energetic, affectionate, courageous",United States,,Male: 34-45; Female: 27-36,Male: 56-64; Female: 51-58,,https://cdn4.thedogapi.com/optimized/JAsKm2ZSyr.jpg
11,American Bully,Companion,8-13,"Confident, gentle, loyal, affectionate, outgoing, eager to please",United States,,Male: 29-54; Female: 25-45,Male: 43-51; Female: 41-48,,https://cdn4.thedogapi.com/optimized/Lf4celbeC5.jpg
87,American Cocker Spaniel,Sporting,10-14,"Gentle, smart, happy, outgoing, affectionate",United States,,Male: 11-14; Female: 9-11,Male: 37-39; Female: 34-37,,https://cdn2.thedogapi.com/images/gJA_mt09Q.jpg
353,American English Coonhound,Hound,11-12,"Energetic, friendly, intelligent, alert, work-focused",United States,,Male: 20-30; Female: 18-27,Male: 61-66; Female: 58-64,,https://cdn4.thedogapi.com/optimized/XoNRi6HPSY.jpg
12,American Eskimo Dog,Non-Sporting,,"Intelligent, alert, friendly, playful, energetic, eager to please",United States,,3-16,23-48,,https://cdn2.thedogapi.com/images/HJAFgxcNQ_1280.jpg
14,American Foxhound,Hound,11-13,"Independent, friendly, gentle, energetic, intelligent",United States,,Male: 29-32; Female: 27-29,Male: 56-64; Female: 53-61,,https://cdn2.thedogapi.com/images/rkeqWgq4Q_1280.jpg
266,American Hairless Terrier,Terrier,,"Alert, energetic, intelligent, friendly, playful, curious",United States,,5-7,30-41,,https://cdn4.thedogapi.com/optimized/H952AJpC2t.jpg
354,American Leopard Hound,Hound,12-15,"Intelligent, energetic, loyal, work-focused, protective, athletic",United States,,Male: 20-34; Female: 16-29,Male: 53-69; Female: 53-64,,https://cdn4.thedogapi.com/optimized/vol1VcS0yZ.jpg
15,American Pit Bull Terrier,Terrier,12-16,"Confident, intelligent, loyal, affectionate, eager to please, energetic",United States,,Male: 16-27; Female: 14-23,Male: 46-53; Female: 43-51,,https://cdn4.thedogapi.com/optimized/NTP0UdJD2P.jpg
16,American Staffordshire Terrier,Terrier,12-16,"Confident, courageous, loyal, intelligent, smart",United States,,Male: 25-32; Female: 18-25,Male: 46-48; Female: 43-46,,https://cdn2.thedogapi.com/images/NaMI1H-PZ.jpg
17,American Water Spaniel,Sporting,10-14,"Eager to please, intelligent, energetic, alert, happy","Wisconsin, United States",,Male: 14-20; Female: 11-18,38-46,,https://cdn2.thedogapi.com/images/oqjGkQJSZ.jpg
355,Andalusian Terrier,Terrier,12-15,"Intelligent, energetic, alert, loyal, courageous, playful","Andalusia, Spain",,Male: 9-12; Female: 8-11,Male: 38-43; Female: 36-41,,https://cdn2.thedogapi.com/images/V8hgHJeCp.jpg
356,Anglo-Français de Petite Vénerie,Hound,12-14,"Energetic, intelligent, alert, loyal, work-focused, devoted",France,,16-20,48-56,,https://cdn4.thedogapi.com/optimized/Q0vTbsbprE.jpg
19,Appenzeller Sennenhund,Working,12-15,"Energetic, intelligent, confident, loyal, alert, work-focused","Appenzell region, Switzerland",,Male: 22-32; Female: 20-28,Male: 51-56; Female: 48-54,,https://cdn4.thedogapi.com/optimized/0opUUNTxrA.jpg
359,Argentine Pila,Spitz and Primitive Types,12-15,"Affectionate, alert, playful, gentle, intelligent",Argentina,,4-25,25-51,,https://cdn4.thedogapi.com/optimized/uHqxcSzA2Q.jpg
358,Ariégeois,Hound,10-14,"Gentle, calm, intelligent, loyal, affectionate, friendly","Ariège, France",,Male: 25-30; Female: 22-30,Male: 52-61; Female: 50-56,,https://cdn4.thedogapi.com/optimized/0BsBdRukER.jpg
357,Ariège Pointer,Sporting,12-14,"Intelligent, gentle, docile, loyal, work-focused, adaptable","Ariège, France",,Male: 25-30; Female: 22-27,Male: 60-67; Female: 56-63,,https://cdn4.thedogapi.com/optimized/gc6KnqhGnT.jpg
360,Armant,Herding,12-14,"Loyal, courageous, intelligent, protective, alert",Egypt,,23-29,53-58,,https://cdn4.thedogapi.com/optimized/SdxdZy6WhC.jpg
361,Armenian Gampr,Working,12-14,"Protective, independent, loyal, calm, intelligent",Armenian Highlands,,Male: 50-68; Female: 41-59,Male: 64-71; Female: 58-66,,https://cdn4.thedogapi.com/optimized/EAOmB1oGAh.jpg
362,Artois Hound,Hound,12-15,"Energetic, loyal, alert, courageous, calm, affectionate","Artois, France",,Male: 25-30; Female: 23-30,Male: 53-61; Female: 51-58,,https://cdn2.thedogapi.com/images/Hyv-ne94m_1280.jpg
20,Aussiedoodle,Mixed,10-15,"Intelligent, energetic, friendly, loyal, affectionate, playful",United States,,Male: 20-32; Female: 16-27,Male: 51-64; Female: 46-58,,https://cdn2.thedogapi.com/images/x-LJYrq37.jpg
21,Australian Cattle Dog,Herding,12-16,"Intelligent, alert, loyal, energetic, courageous",Australia,,16-23,Male: 46-51; Female: 43-48,,https://cdn4.thedogapi.com/optimized/dVCYZjuRS5.jpg
22,Australian Kelpie,Herding,12-16,"Intelligent, energetic, loyal, work-focused, alert",Australia,,Male: 14-21; Female: 12-18,Male: 43-51; Female: 41-48,,https://cdn4.thedogapi.com/optimized/06xiPKwn6r.jpg
23,Australian Shepherd,Herding,12-15,"Intelligent, energetic, work-focused, loyal, devoted, athletic",Western United States,,Male: 23-29; Female: 18-25,Male: 51-58; Female: 46-53,,https://cdn4.thedogapi.com/optimized/ypXNef4pBi.jpg
228,Australian Silky Terrier,Toy,,"Friendly, intelligent, alert, energetic, confident",Australia,,3.5-5,23-25,,https://cdn2.thedogapi.com/images/Byd0xl5VX_1280.jpg
363,Australian Stumpy Tail Cattle Dog,Herding,12-15,"Loyal, alert, energetic, intelligent, courageous, independent, work-focused",Australia,,Male: 16-23; Female: 14.5-20.5,Male: 46-51; Female: 43-48,,https://cdn4.thedogapi.com/optimized/J0T27pfJm9.jpg
24,Australian Terrier,Terrier,11-15,"Courageous, alert, friendly, loyal, intelligent",Australia,,7-9,25-28,,https://cdn4.thedogapi.com/optimized/30LyjIob3H.jpg
364,Austrian Black and Tan Hound,Hound,12-14,"Intelligent, friendly, energetic, work-focused, independent, loyal",Austria,,Male: 22-27; Female: 20-25,48-56,,https://cdn2.thedogapi.com/images/uE8zkHahk.jpg
365,Austrian Pinscher,Working,12-14,"Alert, protective, loyal, energetic, confident, intelligent",Austria,,12-18,Male: 42-50; Female: 40-48,,https://cdn2.thedogapi.com/images/B1pDZx9Nm_1280.jpg
25,Azawakh,Hound,12-15,"Independent, loyal, alert, protective, affectionate, aloof","West Africa (Sahel region: Mali, Niger, Burkina Faso)",,Male: 20-25; Female: 15-20,Male: 63-74; Female: 60-70,,https://cdn4.thedogapi.com/optimized/tI6IgTM8Ja.jpg
366,Bắc Hà,Spitz and Primitive Types,12-15,"Alert, loyal, intelligent, protective, independent","Bắc Hà District, Lào Cai Province, northern Vietnam",,Male: 18-25; Female: 16-22,Male: 46-56; Female: 41-51,,https://cdn2.thedogapi.com/images/r1xXEgcNX_1280.jpg
367,Bakharwal Dog,Working,9-13,"Loyal, protective, intelligent, courageous, independent","Jammu and Kashmir, India",,35-60,Male: 61-76; Female: 56-71,,https://cdn4.thedogapi.com/optimized/JX7oc0IPtq.jpg
368,Banjara Hound,Hound,10-14,"Independent, loyal, alert, intelligent, courageous",India,,Male: 25-35; Female: 22-30,Male: 66-76; Female: 61-71,,https://cdn4.thedogapi.com/optimized/UnSc5dMSae.jpg
369,Bankhar Dog,Working,12-15,"Protective, independent, loyal, calm, alert, intelligent",Mongolia,,Male: 39-57; Female: 32-48,Male: 64-76; Female: 61-71,,https://cdn2.thedogapi.com/images/ZjkHW13DK.jpg
370,Barak Hound,Hound,12-14,"Energetic, intelligent, alert, independent, courageous",Bosnia and Herzegovina,,17-25,Male: 51-56; Female: 48-53,,https://cdn4.thedogapi.com/optimized/dIwJe77wP0.jpg
371,Barbado da Terceira,Herding,12-14,"Intelligent, loyal, energetic, docile, playful, courageous, alert","Terceira Island, Azores, Portugal",,Male: 25-30; Female: 21-26,Male: 52-56; Female: 48-54,,https://cdn4.thedogapi.com/optimized/2IiLxKrBkc.jpg
26,Barbet,Sporting,12-14,"Friendly, intelligent, loyal, playful, athletic, devoted",France,,17-28,Male: 53-65; Female: 51-61,,https://cdn2.thedogapi.com/images/rJO6cQoVQ.gif
28,Basenji,Hound,,"Independent, intelligent, alert, energetic, curious, affectionate",Central Africa,,Male: 10-12; Female: 9-11,Male: 41-44.5; Female: 38-42,,https://cdn2.thedogapi.com/images/Bzc8begeV.jpg
372,Basque Shepherd Dog,Herding,12-15,"Intelligent, loyal, energetic, alert, work-focused, devoted",Basque Country (Spain and France),,Male: 18-36; Female: 17-30,Male: 47-61; Female: 43-59,,https://cdn2.thedogapi.com/images/BW9WnXl3E.jpg
27,Bassador,Mixed,10-13,"Friendly, loyal, gentle, intelligent, outgoing",United States,,20-34,33-51,,https://cdn2.thedogapi.com/images/eHenFc9qF.jpg
373,Basset Artésien Normand,Hound,12-15,"Affectionate, calm, gentle, intelligent, friendly","Artois and Normandy regions, France",,15-20,30-36,,https://cdn2.thedogapi.com/images/H1NIzlcV7_1280.jpg
29,Basset Bleu de Gascogne,Hound,10-14,"Gentle, friendly, alert, loyal, independent","Gascony, France",,16-18,33-38,,https://cdn2.thedogapi.com/images/rJ6iQeqEm_1280.jpg
374,Basset Fauve de Bretagne,Hound,11-15,"Friendly, energetic, intelligent, courageous, alert, happy, outgoing, loyal, affectionate","Brittany, France",,Male: 12-18; Female: 12-17,32-39,,https://cdn2.thedogapi.com/images/HJq5ke5Nm_1280.jpg
30,Basset Hound,Hound,12-13,"Friendly, calm, gentle, loyal, independent, devoted",France,,18-30,33-38,,https://cdn2.thedogapi.com/images/B1i67l5VQ_1280.jpg
677,Bassettoodle,Mixed,10-14,"Friendly, intelligent, gentle, playful, loyal",United States,,Male: 11-32; Female: 9-32,Male: 30-41; Female: 30-38,,https://cdn2.thedogapi.com/images/e9y7-VkOl.jpg
375,Bavarian Mountain Hound,Hound,12-15,"Calm, loyal, intelligent, devoted, courageous, work-focused","Bavaria, Germany",,Male: 20-25; Female: 17-25,Male: 47-52; Female: 43-48,,https://cdn4.thedogapi.com/optimized/9Vh5N533hN.jpg
31,Beagle,Hound,10-15,"Friendly, gentle, alert, outgoing, curious, energetic",England,,9-14,Male: 33-41; Female: 33-38,,https://cdn4.thedogapi.com/optimized/8YaLRfyVCt.jpg
376,Beagle-Harrier,Hound,12-14,"Energetic, intelligent, friendly, courageous, devoted",France,,19-27,45-50,,https://cdn4.thedogapi.com/optimized/20lCLdGZ6Q.jpg
32,Bearded Collie,Herding,12-14,"Intelligent, energetic, playful, affectionate, alert, confident, outgoing",Scotland,,20-25,Male: 53-56; Female: 51-53,,https://cdn2.thedogapi.com/images/TZwbGR2T6.jpg
33,Beauceron,Herding,10-12,"Intelligent, loyal, protective, courageous, confident",France,,32-50,Male: 65-70; Female: 61-68,,https://cdn2.thedogapi.com/images/rkVlblcEQ_1280.jpg
34,Bedlington Terrier,Terrier,11-16,"Intelligent, affectionate, energetic, playful, courageous, alert",England (Northumberland),,8-10,Male: 41-44; Female: 38-42,,https://cdn4.thedogapi.com/optimized/IIMOCnjcu2.jpg
35,Belgian Laekenois,Herding,10-14,"Alert, intelligent, protective, loyal, energetic, affectionate",Belgium,,Male: 25-30; Female: 20-27,Male: 61-66; Female: 56-61,,https://cdn4.thedogapi.com/optimized/yBYbX1tm1c.jpg
36,Belgian Malinois,Herding,,"Intelligent, confident, energetic, loyal, alert, work-focused, protective",Belgium,,Male: 27-36; Female: 18-27,Male: 61-66; Female: 56-61,,https://cdn4.thedogapi.com/optimized/ikOLxquC5T.jpg
37,Belgian Shepherd,Herding,12-14,"Intelligent, loyal, energetic, alert, protective, work-focused",Belgium,,Male: 25-34; Female: 20-27,Male: 61-66; Female: 56-61,,https://cdn2.thedogapi.com/images/rkVB1x9E7_1280.jpg
38,Belgian Tervuren,Herding,12-14,"Intelligent, courageous, alert, loyal, energetic",Belgium,,Male: 25-34; Female: 20-27,Male: 61-66; Female: 56-61,,https://cdn4.thedogapi.com/optimized/FRKm6nX5x3.jpg
39,Bergamasco Sheepdog,Herding,,"Intelligent, independent, loyal, alert, gentle, calm",Italian Alps,,Male: 32-38; Female: 26-32,Male: 60-62; Female: 56-60,,https://cdn2.thedogapi.com/images/lq5gBjy4s.jpg
40,Berger Picard,Herding,12-13,"Intelligent, loyal, energetic, alert, affectionate","Picardy, France",,23-32,Male: 60-65; Female: 55-60,,https://cdn2.thedogapi.com/images/Sy57xx9EX_1280.jpg
649,Bernedoodle,Mixed,10-15,"Intelligent, friendly, gentle, playful, affectionate, loyal",Canada,,Male: 32-41; Female: 27-36,Male: 58-74; Female: 53-69,,https://cdn4.thedogapi.com/optimized/IfaS21KAcV.jpg
41,Bernese Mountain Dog,Working,7-10,"Calm, gentle, loyal, intelligent, affectionate, good-natured",Switzerland,,Male: 36-52; Female: 32-43,Male: 64-70; Female: 58-66,,https://cdn4.thedogapi.com/optimized/JeEa01pVeW.jpg
42,Bichon Frisé,Non-Sporting,,"Happy, playful, affectionate, intelligent, gentle, energetic",France / Belgium,,5-8,24-29,,https://cdn4.thedogapi.com/optimized/yy1nVxX1TD.jpg
267,Biewer Terrier,Toy,,"Friendly, intelligent, playful, devoted, affectionate","Hunsruck, Germany",,1.8-3.6,18-28,,https://cdn4.thedogapi.com/optimized/9Vh5N533hN.jpg
377,Billy,Hound,10-12,"Energetic, intelligent, courageous, gentle, independent","Haut-Poitou, France",,Male: 25-33; Female: 23-30,Male: 60-70; Female: 58-66,,https://cdn2.thedogapi.com/images/oTWQDw9C9.jpg
43,Black and Tan Coonhound,Hound,10-12,"Friendly, outgoing, intelligent, alert, adaptable, easygoing",United States,,29-50,Male: 64-69; Female: 58-64,,https://cdn2.thedogapi.com/images/SyRe4xcN7_1280.jpg
268,Black Mouth Cur,Hound,12-16,"Loyal, courageous, intelligent, energetic, protective, work-focused",Southern United States,,Male: 18-43; Female: 16-36,Male: 46-64; Female: 41-58,,https://cdn2.thedogapi.com/images/B17ase9V7_1280.jpg
378,Black Norwegian Elkhound,Hound,12-15,"Energetic, courageous, alert, independent, loyal, confident",Norway,,Male: 20-25; Female: 18-23,Male: 46-50; Female: 43-47,,https://cdn2.thedogapi.com/images/rJ6iQeqEm_1280.jpg
44,Black Russian Terrier,Working,10-12,"Confident, courageous, intelligent, protective, calm, loyal",Russia,,36-59,Male: 68-76; Female: 66-74,,https://cdn2.thedogapi.com/images/SMa0dyTLx.jpg
45,Bloodhound,Hound,10-12,"Gentle, friendly, independent, alert, devoted, affectionate",Belgium,,Male: 41-50; Female: 36-45,Male: 64-69; Female: 58-64,,https://cdn2.thedogapi.com/images/ByxuuunBX_1280.jpg
46,Blue Picardy Spaniel,Sporting,10-14,"Gentle, intelligent, calm, devoted, affectionate","Picardy, France",,19.5-22.7,Male: 57-61; Female: 55-60,,https://cdn2.thedogapi.com/images/Fw1MZmoRL.png
47,Bluetick Coonhound,Hound,11-12,"Friendly, intelligent, loyal, devoted, work-focused",United States,,Male: 25-36; Female: 20-29,Male: 56-69; Female: 53-64,,https://cdn2.thedogapi.com/images/ByK8gx947_1280.jpg
48,Boerboel,Working,9-11,"Confident, intelligent, loyal, protective, calm",South Africa,,Male: 68-91; Female: 50-68,Male: 61-69; Female: 56-64,,https://cdn2.thedogapi.com/images/I3E0R2tuV.jpg
379,Bohemian Shepherd,Herding,12-14,"Intelligent, loyal, calm, confident, eager to please, energetic, gentle, adaptable",Czech Republic,,Male: 19-27; Female: 17-25,Male: 52-57; Female: 49-55,,https://cdn2.thedogapi.com/images/wJjvV6A5T.jpg
380,Bohemian Spotted Dog,Companion,12-15,"Friendly, intelligent, adaptable, gentle, energetic",Czech Republic,,15-20,Male: 45-53; Female: 43-53,,https://cdn4.thedogapi.com/optimized/rwf9rF0e9Z.jpg
49,Bolognese,Toy,12-14,"Calm, devoted, intelligent, playful, gentle, loyal","Bologna, Italy",,2.5-4,25-30,,https://cdn4.thedogapi.com/optimized/wnXnSQ9sTP.jpg
50,Border Collie,Herding,12-15,"Intelligent, energetic, alert, work-focused, loyal, eager to please",Anglo-Scottish border region,,14-25,Male: 48-56; Female: 46-53,,https://cdn4.thedogapi.com/optimized/h7fcj4eeRi.jpg
51,Border Terrier,Terrier,12-15,"Affectionate, intelligent, alert, energetic, courageous, adaptable",Border regions between England and Scotland,,Male: 6-7; Female: 5-6.5,Male: 33-41; Female: 28-36,,https://cdn2.thedogapi.com/images/ByIiml9Nm_1280.jpg
689,Bordoodle,Mixed,12-15,"Intelligent, energetic, loyal, playful, eager to please",United States,,Male: 16-29; Female: 14-25,Male: 46-64; Female: 43-56,,https://cdn2.thedogapi.com/images/B1ADQg94X_1280.jpg
52,Borzoi,Hound,9-14,"Gentle, independent, calm, intelligent, affectionate",Russia,,Male: 34-48; Female: 27-39,Male: 71-81; Female: 66-76,,https://cdn2.thedogapi.com/images/xbI13teuJ.jpg
53,Boston Terrier,Non-Sporting,11-13,"Friendly, intelligent, outgoing, playful","Boston, Massachusetts, United States",,5-11,38-43,,https://cdn2.thedogapi.com/images/rk9k4aTNm.gif
381,Bouvier des Ardennes,Herding,10-12,"Courageous, loyal, intelligent, energetic, work-focused, adaptable","Ardennes region, Belgium",,Male: 27-34; Female: 23-29,Male: 56-61; Female: 52-56,,https://cdn2.thedogapi.com/images/ajJCO_lDC.jpg
54,Bouvier des Flandres,Herding,10-12,"Loyal, intelligent, protective, courageous, calm, gentle",Belgium (Flanders region),,32-50,Male: 62-70; Female: 60-67,,https://cdn2.thedogapi.com/images/WWmA1kutH.jpg
55,Boxer,Working,10-12,"Playful, energetic, loyal, intelligent, friendly, alert",Germany,,Male: 29-36; Female: 23-29,Male: 58-64; Female: 55-60,,https://cdn2.thedogapi.com/images/vPQGloamD.jpg
666,Boxerdoodle,Mixed,10-14,"Intelligent, playful, energetic, loyal, friendly, affectionate",United States,,Male: 27-36; Female: 20-32,Male: 53-64; Female: 51-61,,https://cdn4.thedogapi.com/optimized/SdxdZy6WhC.jpg
56,Boykin Spaniel,Sporting,10-15,"Friendly, energetic, eager to please, intelligent, adaptable","South Carolina, United States",,Male: 14-18; Female: 11-16,Male: 39-46; Female: 36-42,,https://cdn4.thedogapi.com/optimized/l74W8L2h5e.jpg
57,Bracco Italiano,Sporting,10-14,"Gentle, intelligent, affectionate, loyal, calm, docile, adaptable",Italy,,25-40,Male: 58-67; Female: 55-62,,https://cdn2.thedogapi.com/images/hdERN5n5z.jpg
382,Braque d'Auvergne,Sporting,12-15,"Gentle, intelligent, affectionate, devoted, work-focused","Auvergne region, France",,Male: 22-30; Female: 20-28,Male: 56-63; Female: 53-61,,https://cdn2.thedogapi.com/images/Sypubg54Q_1280.jpg
383,Braque du Bourbonnais,Sporting,12-15,"Gentle, intelligent, loyal, calm, affectionate, adaptable","Bourbonnais region, France",,Male: 18-26; Female: 16-24,Male: 50-57; Female: 47-56,,https://cdn2.thedogapi.com/images/rJO6cQoVQ.gif
384,Braque Français,Sporting,12-15,"Gentle, intelligent, loyal, affectionate, adaptable",France,,18-25,Male: 47-58; Female: 47-56,,https://cdn2.thedogapi.com/images/42QrDrylc.jpg
385,Braque Saint-Germain,Sporting,12-14,"Gentle, intelligent, affectionate, eager to please, loyal",France,,18-26,Male: 56-61; Female: 53-58,,https://cdn2.thedogapi.com/images/-QbEXksWV.jpg
386,Brazilian Terrier,Terrier,12-14,"Alert, friendly, energetic, intelligent, playful, loyal",Brazil,,Male: 7-10; Female: 6-10,Male: 35-40; Female: 33-38,,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg
58,Briard,Herding,10-12,"Loyal, intelligent, protective, confident, courageous, devoted",France,,Male: 32-45; Female: 23-29,Male: 58-69; Female: 56-65,,https://cdn2.thedogapi.com/images/d_dNvBD0R.jpg
387,Briquet de Provence,Hound,11-14,"Gentle, intelligent, alert, friendly, devoted, adaptable","Provence, France",,Male: 20-25; Female: 18-22,Male: 48-56; Female: 47-53,,https://cdn4.thedogapi.com/optimized/ozM2Ca6Plu.jpg
388,Briquet Griffon Vendéen,Hound,12-14,"Courageous, energetic, independent, friendly, alert, intelligent","Vendée, France",,22-24,48-56,,https://cdn2.thedogapi.com/images/0mUBUQ68p.jpg
59,Brittany,Sporting,12-15,"Intelligent, energetic, eager to please, friendly, athletic, happy","Brittany (Bretagne), France",,14-18,44-52,,https://cdn2.thedogapi.com/images/Sk4DXl54m_1280.jpg
681,Brittanydoodle,Mixed,11-16,"Energetic, intelligent, friendly, eager to please, loyal",United States,,Male: 16-30; Female: 14-25,Male: 44-64; Female: 44-58,,https://cdn2.thedogapi.com/images/bJqrD40we.jpg
389,Broholmer,Working,8-10,"Calm, friendly, confident, protective, loyal, gentle",Denmark,,Male: 50-68; Female: 41-59,Male: 75-76; Female: 70-71,,https://cdn2.thedogapi.com/images/SJ5vzx5NX_1280.jpg
390,Bruno Jura Hound,Hound,12-14,"Independent, alert, intelligent, gentle, work-focused","Jura Mountains, Switzerland",,Male: 15-22; Female: 15-20,Male: 46-59; Female: 43-57,,https://cdn4.thedogapi.com/optimized/T4bRANE8Fb.jpg
391,Bucovina Shepherd Dog,Working,10-14,"Calm, protective, courageous, loyal, independent, devoted","Bucovina region, Carpathian Mountains, Romania",,Male: 50-70; Female: 45-60,Male: 68-78; Female: 64-72,,https://cdn4.thedogapi.com/optimized/MY32nvFaii.jpg
684,Bugg,Mixed,10-15,"Friendly, playful, affectionate, alert, intelligent",United States,,Male: 7-11; Female: 6-10,25-43,,https://cdn2.thedogapi.com/images/S1KMGg5Vm_1280.jpg
392,Bulgarian Hound,Hound,12-14,"Alert, energetic, intelligent, loyal, independent, work-focused",Bulgaria,,Male: 18-25; Female: 16-23,Male: 48-58; Female: 46-54,,https://cdn2.thedogapi.com/images/6jNaXEFxv.jpg
393,Bulgarian Scenthound,Hound,12-14,"Intelligent, loyal, alert, energetic, work-focused",Bulgaria,,Male: 20-25; Female: 18-23,Male: 51-58; Female: 48-54,,https://cdn4.thedogapi.com/optimized/EXPG7YlvxK.jpg
394,Bull Arab,Mixed,12-15,"Loyal, intelligent, protective, courageous, energetic",Australia,,Male: 32-43; Female: 27-40,Male: 61-69; Female: 61-66,,https://cdn4.thedogapi.com/optimized/F0nbcc4hif.jpg
63,Bulldog,Non-Sporting,8-10,"Friendly, courageous, calm, docile, loyal",England,,Male: 23-25; Female: 18-23,36-38,,https://cdn2.thedogapi.com/images/xJJyuYXJS.jpg
64,Bullmastiff,Working,7-9,"Loyal, protective, calm, courageous, affectionate, confident",England,,Male: 50-59; Female: 45-54,Male: 64-69; Female: 61-66,,https://cdn2.thedogapi.com/images/R1b5gB11p.jpg
687,Bulloxer,Mixed,9-14,"Loyal, protective, playful, affectionate, courageous, energetic",United States,,Male: 23-36; Female: 23-32,Male: 46-64; Female: 43-61,,https://cdn4.thedogapi.com/optimized/hZkMlKOLPl.jpg
61,Bull Terrier,Terrier,12-13,"Playful, courageous, energetic, loyal, mischievous",England,,23-32,53-56,,https://cdn2.thedogapi.com/images/Asut5CUgQ.jpg
62,Bull Terrier (Miniature),Terrier,11-13,"Playful, energetic, courageous, confident, affectionate, outgoing",England,,9-15,25-36,,https://cdn2.thedogapi.com/images/S1osGeqVm_1280.jpg
395,Bully Kutta,Working,8-10,"Protective, loyal, courageous, independent, intelligent",Indian subcontinent (Pakistan/India),,Male: 68-91; Female: 59-77,Male: 76-91; Female: 71-81,,https://cdn2.thedogapi.com/images/XuF0yCht6.jpg
396,Burgos Pointer,Sporting,12-14,"Loyal, calm, intelligent, docile, work-focused","Burgos, Castile and León, Spain",,Male: 25-30; Female: 20-25,Male: 61-67; Female: 58-64,,https://cdn4.thedogapi.com/optimized/OHWsNdOh9O.jpg
398,Ca de Bou,Working,10-12,"Calm, courageous, loyal, confident, protective","Majorca, Balearic Islands, Spain",,Male: 35-38; Female: 30-34,Male: 55-58; Female: 52-55,,https://cdn4.thedogapi.com/optimized/61r5MvNDov.jpg
