playlist_index,video_url,video_id,title,channel,caption,error
59,https://www.youtube.com/watch?v=xywu-1smW3s,xywu-1smW3s,"[Eng sub] Why does my dog always lick me, yet dislike it when I lick them back?｜Hunter Kang’s Q&A",강형욱의 보듬TV,5 4 co 4 오오오 아 아 르 또 우선적 제 볼게요 예 아 예 불이 붙었나 어 닭 미가 님 강아지는 사람이 자기를 혀로 핥으면 싫어하면서 자기들은 왜 우리를 그렇게 한 나요 아 이게 자활 터는 의미가 되고 여러가지 에요 기본적으로 가장 확실한 얘는 어린 애기 때 이 강아지가 엄마가 강아지한테 나 이유식 초 배고파 배고파 라고 할 때 엄마의 털 그렇게 할 탈 이마 것이었고 힐 차 적으로 소화를 한 그 중 식물들을 개헌 해달라고 턱을 한 탔던 게 e 반려견 들이 내가 수원 하거나 또 그 소리 하고 싶거나 아니면 저 사람한테 순종한다 라는 걸 표현하고 싶을때 개설하면 그렇게 할까요 그래서 얼굴을 할 트는 의미가 야 당신에게 생 종 해요 여기서의 순정은 내가 나 당시 너무 무서워 가지고 내가 아무말도 못하고 즉 소리도 안 할게 아니라 온 전에 당신을 믿어 4 약한 부위까지 약한 모습까지 다 보여줄 수 있어 란 당신의 무료 좋아요 더 당신이 나의 리더 고 당신이 우리를 대표해서 좋아요 라고 하는 그런 모습에 셀에 무늬의 요 순종하는 모습을 좀 보여주고 싶은데 갑자기 보호자가 나한테 선종을 하니까 이상하게 쪼 으 우 벅 악 하다는 깟 없던 우탄 데어 이루게 찍 회가 내가 내가 소주 하고 싶은데 보면 이거 순종의 얼마나 와야겠어요 원 아실텐데 난 난 리더 싫은데 왜 그래요 이렇지 않을까 생각이 좀 되구요 모자 4 강아지 할지 마세요 예 바꾸어야 할 거 1시 봤어요 깔 줄 아시고 이제 강아지가 꼭 보 하면 잘 이렇게 대응해 주시면 잘 대응한다 나는게 가만히 있는거예요 할짝 피하고 4 그게 쉬운 아마 강아지도 충분히 우리 부장으로 좋은 관계를 오늘 유지했다 이렇게 않습니다 [음악] [음악],
60,https://www.youtube.com/watch?v=Qq8plwaQDHU,Qq8plwaQDHU,[Eng sub] Do dogs express gratitude?,강형욱의 보듬TV,5 4 222 4 하계 2225 아 이게 네 저는 한다고 생각합니다 어 어 민지 애니 미주의 사이에요 강아지도 고맙다는 표현을 하나요 사리를 주거나 새로운 일로 바꿔주면 와서 손등을 두번정도 헬름 되요 4번 그래서 우연은 아닌 것 같아요 오 이게 고맙다는 편인지 궁금합니다 펑크 측하게 말씀드릴께요 봐도 잘 모르겠어요 어 하지만 아마 우리 민재 님이 느끼는게 고맙다 라고 하는 거라면 아 막 고마웠다는 거 일수도 있어요 많은 강아지를 경험했지만 이게 또 보고자 님하고 가게 하고 의 관계는 또 다르지 않겠습니까 가끔씩 우리가 우리가 저한테 해 라고 하고 가요 정말 느낌이 뭐였죠 아 아 아 아 처음 느끼는 거야 되죠 그래서 아마 적 얘들한테 항상 감동도 만큼 물었 왔고 이제 그런 것 같은데 모공 극적인 좋으나 팔짜 어깨를 부딪힌 응 쌍동이 나 길게 있는 행동을 하고 또 어떤 친구는 애교를 우리는 것처럼 오지 마 오지 마 리 될 거야 라고 하듯이 맞아 꽂고 하시고 그런 친구들도 있거든요 근데 그게 보라 4 으 가져가지 말라 아내 음식 어서 내 거야 나는 또 또 있는데요 율 도 이렇게 한 곳에 있고 밥줄이 한곳에 있잖아요 그러면 어떤 강한 얘들은 포유 계주 높아져서 그 뜻을 내꺼 라고 생각을 하기도 해요 한번 쪄 실험해 볼 수 있는 방법은 있는데요 사료의 손을 이렇게 넣었는데 강아지가 그래도 께 에서 할 텐 다 그래 를 손 초 입니다 또 이제 좀 아름다운 것을 좀 깨고 싶지 않았지만 조금 더 무시하고 보세요 4 그렇지 않고 폼 넣는데 개냐 모자 이제 그 안이 있다 아 그렇다면 그와 전혀 상관없는 굉장히 힘들 수 있으니까 실험 하지 마세요 내 말에 마지못해 이렇게 되겠습니다 아 아 아 으 [음악],
61,https://www.youtube.com/watch?v=2QU-9T_hBsk,2QU-9T_hBsk,[Eng sub] Do dogs know if it's an emergency or we're just acting?｜Hunter Kang’s Q&A,강형욱의 보듬TV,5 4 c55 예 으 아 어 2개 마다 조금씩 다릅니다 어 새해에는 이미 주인 사안입니다 sns 에서 주인이 죽은 척을 하면 막 짖고 놀라는 어안 절 주지 못하는 강아지 영상을 본적이 있습니다 그걸 보고 저도 똑같이 따라했는데 기대 원한이 무시하고 가더라구요 강아지도 사람이 진짜 위급한 상황 인지 아니면 그런 척 하는 것인지 알수 있나요 내가 뭐 어 내 쪽으로 아니면 육체의 나도 감지하지 못하는 위급하게 생길 때 있잖아요 그런 것은 벌써 내 아내 에서 일어나는 것에서 보호자 하고 의 관계가 좋은 친구들 또 보호자도 그 강아지 하고 의 관계를 잘 유지했던 그런 가족은 개들이 걸 느낍니다 그런데 그 특히 낸 걸 느끼지만 행동하는 것들이 조금 달라요 우연한 되게 성숙한 개들 중에는 되려 정말 제 문제를 어떻게 해결하면 조치 라고 생각을 하고 다 내겠다 내가 보호자 옆에서 이렇게 가만히 써 줘야 되겠다 또는 주변의 짖어야 되겠다 대한 도구 나옵니다 어떤 애들은 그냥 옆에 이렇게 다 아니 앉아 있는 애들도 있고요 실제로 불안해 가지고 무서워 가지고 어디 숨어 있는 개들도 있구요 어떤 친구들은 그 보호자를 끌고 다른 대로 자기 집이나 자기가 좋아하는 뭐 뭐 침대 옆에 될 수도 있고 거기를 데리고 가려고 물고 이렇게 떼 길고 하는 경우들이 있어요 대부분의 반려된 질이 보호자 님 의 이상 행동 후 이상한 몸의 변화 이런 것들을 파악하고 요 나름대로 최선을 다해서 표현하려고 하는 거니까 구질의 강아지가 어풀 착 되지 않는다 라고 해서 섭섭해 하지 마시구요 어쩐 연기가 발령 되었을지도 몰라요 제제 거 못 보셨어요 제 연기하는 거 그 정도는 돼야 걔들은 속일 수 있다 꼭 5 5 5 5 예 255 [음악] 으 으 으 으,
62,https://www.youtube.com/watch?v=DfXK8S9gwik,DfXK8S9gwik,[Eng sub] Do dogs know amongst themselves who is smarter?,강형욱의 보듬TV,5 4 오 예 앞서 돼 에렌이 미주는 사이 님 지내긴 5평 가지도 있구요 진행이 비교적 낮은 강아지도 있는데요 강아지들이 서로 진행 차이를 느낄 수 있을까요 공감 쪼꼼 설명이 필요할 것 같아요 혹시 보이던 님 진행 이라고 하는걸 뭐 암기력 단기 안 기적 이라고 하나요 그런거 를 뜻하는 건지 아니면 촌 명함이나 협동 명이다 이런 것들을 좋다는 건지 제가 사실 잘 뭐 정확하게 이 불만으로 이해가 안됐어요 그런데 제가 생각하는 질문은 사회성도 진행 이라고 생각해요 다른 사람들이 던 이를 개들이 더 황 존 자동차를 잘 타는 것 은 전 이 모든 것들을 지능이 높다 라고 이야기 하는데 아마 보호 전임 또 윤 지능을 강아지한테 대입해서 질문하게 않을까 싶어요 그들은 4 이성의 떨어지면 죽음이 떨어지는 것 같다 라고 하는 우리 킴 적 느낌을 갖추는 했어요 나 뭐 이제 일방적인 행동한 아예 5 아니면은 무조건 욕만 찍는다 거나 이제 그런 것들을 강아지들이 알아보지 어제 어디 출신이자 나 뭐 어렸을때 경제 tv 나 때 않은 다가 오고 싶게 돼 이렇게 예 알리는 지 못하니까요 얼마나 유하고 잘 어울리다 또 얼마나 잘 적응한 아 이런 것들이 강아지에게 는 돋보일 수 있는 진행 이라고 저는 생각을 하는 합니다 그러나 실제로 그런 강아지들이 인기가 있어요 그래서 개들 3개의 되새 껴 는 어떤 단기 암기력이 나 얼마나 앉아 교류를 잘하는 거 아니까 가고 오고 배려하는 야 이런게 아닐까 라고 느끼고 요 그런 측면에서는 개비를 얼마든지 느낄 수 있습니다 [음악] 으 [음악],
63,https://www.youtube.com/watch?v=u6-RQ9Ny54A,u6-RQ9Ny54A,"[Eng sub] When dogs start growling at each other after sniffing, are they mad?｜Hunter Kang’s Q&A",강형욱의 보듬TV,5 4 c55 5 아 매화 나니까 어려우니까 뭐 여러가지 이유가 있으니까 의료 되는거 일겁니다 콩 태 태 님이 주신 사이에요 다른 강아지와 서로 냄새를 맡다가 갑자기 으름 된건 빨아서 그러는 걸까요 이제 그냥 가서 잘 냄새 맡는 게 아닐 겁니다 아마 이런 걸 거에요 4 어디서 있냐 넣어줬어요 으 처음 보는데 이건 안되는거 몰라 이런 실패 돌아가 그런걸 야가 형태가 협조적 이지 못하니까 봐 준 거라고 한 걸릴 수 있습니다 강아지들 퀴리 이렇게 인사하는 것 처럼 만났는데 보호자들은 떨리게 좋다고 이렇게 하고 있어요 그런데 제가 봤을때는 정말 격투기 선수들이 서로 아 이루고 있는 듯한 느낌을 받을 때가 있거든요 아 실내 입니다 안녕하세요 얘기 아니라 그냥 이렇게 가서 으 냄새 봤는데 아 음 5 아주머 아 그게 보호되는 가지 못하게 이렇게 생기고 있는 거죠 그래도 괜찮은 거 같은데 라고 출 딱 주는 그냥 딱 하는 경우들도 있구요 아니면 은 서로 예 좆을 드럽게 냄새를 맡고 있는데 옆에서 누가 되었기에 치는 거에요 그러면 놀러가지 이제 그건 건군 이래 면에 긴장된 상태에서는 코르티솔의 라고 하면서 호르몬 의 분비가 많아지게 되는데 호르몬의 분비가 많아 진 상태에서 어떤 꽈 안 아님을 옆에 이런 접촉 만으로도 당하 3 막 하는 방아쇠가 될 수 있는 효과가 있거든요 그래서 보자 얘기좀 말씀드리고 싶은 것은 생기면서 그렇게 강아지한테 가까이 가지 않게 해야 되고요 편하게 강아지를 만날 수 있게 어떻게 해야 되려면 표상 3 만나지 않아야 되요 냄새를 맡는 게 타일러가 안되구요 아주 무례한 인사는 화면 할수록 - 고 좋지 않으니까 거리를 충분히 둬서 그 상대 강아지가 내 강아지를 충분히 받아들일 수 있는 상태가 됐을 때 만나게 하는 그런 사회성에 회복을 위한 노력을 좀 해줄 해주셨으면 좋겠어요 한번 보든 잘 괜찮으시다면 위력적인 행동이 눈에 보일 거에요 좀 관찰 한번 해 보세요 [음악] 오 오 오 오,
64,https://www.youtube.com/watch?v=ThrMKE62sck,ThrMKE62sck,[Eng sub] Does chewing dirt or grass reduce stress?,강형욱의 보듬TV,5 4 그리고 좀 아 음 4 예 개 이민정 님이 주인 사이에요 강아지들이 산책하러 나갔을 때 흑인 앞을 놓는 것을 막아야 하니까 마음껏 스트레스 풀라고 내버려 뒀는데 다른 사람들은 못하게 하더라구요 꽃 스트레스라는 거든요 여러분 받는게 문제가 아니라 스트레스가 풀리지 않고 마야 학생은 개 문제거든요 플레이 지가 않고 순환되지 가 않으니까 자정 전 좀 어떻게 되겠어요 모발을 기도 하고 다니면 평상시에 목 안하게 있다가 뱅글뱅글 경건하게 꼬리를 잡으려고 하기 같고 아니면 그냥 무작정 체를 이런 아예 근데 이런 친구들은 계속 수시로 스트레스를 풀고자 하는 넘고 있는 거에요 sc 많이 받는 친구들이 산책을 나가면 아 칼스 풀립니다 1 아니라 더 제외 져 있어 화나서 사람 무서운데 흩어 버리는 거야 걔를 스트레스가 많이 쌓이는 경우들이 있어요 그렇게 되다보면 짚차 카드 시 냄새 맡는 질문들이 있죠 지금 우리 보자는 풍미 장님의 받는 거쳐서 d 벤 개미는 품들을 게 넣어보고 일부 먹는거 괜찮아요 뭐 조금 먹을 수 있지 뭐 로 볼 수 있어요 근데 이렇게 그래도 먹고 하고 먹고 올까 하고 흙을 또 과학 여야 할 꽂은 이루는 목에 숟가락으로 또는 것처럼 먹다 보면 정말 입니다 제가 말하는게 들어보니 어때요 스트레스를 받게 하고 프로모 놈으로 스트레스를 풀게 하지 바라고 아아 마시구요 스트레스가 굉장히 높은 상태라는 것이 증명된 거거든요 그래서 분명히 풀어주기도 먹으면 스 캐리가 좋은 낮아지지만 모니터링 것을 말할 수 없어 예 콘 상태 의 4개가 어선 스트레스를 갖고 있었나 이걸 찾아보면 좋고요 뭐요 위협할 수 있는 거니깐 1호 이 돌을 그냥 방치하지 마세요 어떻게 하면 우리가 바지가 좀 검형 한 방법으로 쌀 생각할 수 있지 않을까 아 이걸 논의로 봤으면 좋겠습니다 으 으 [음악],
65,https://www.youtube.com/watch?v=FmNbBFO3QA0,FmNbBFO3QA0,[Eng sub] Do dogs not like it when I pet them with feet?｜Hunter Kang’s Q&A,강형욱의 보듬TV,5 4 5 4 5 4 5 어 좋아하는 친구들도 있습니다 어 썸머 님이 주신 사이에요 걔들은 발로만 저어주면 싫어 않아요 한 개만 유독 손으로 만져 주면 좋아하는데 발로 쓰다듬어 오면 안 좋아 하더라구요 앉아서 일을 자주 하는데 나름대로 발로만 저도 아무튼 반조 주는 거니 좋아할 거라 생각했는데 유유 아 알고 저도 가끔 c 우리 이렇게 레오 있으면 후에 다 지로 이렇게 파절 때가 있기는 해요 어 근데 어 레온은 크기가 많이 씁니다 이렇게 평안이 있고 우리 줘 아빠가 아들 이렇게 좀 발로 지압하는 것처럼 그냥 가마 안에 있어요 그러니까 앞장 눈 깜짝 정도 이렇게 힘이 최신의 최신의 하니까 너 납니다 가끔씩 제가 이렇게 접할 밑에 있잖아요 그러면 제가 이제 쓰다듬으려고 싸 듣는게 아니라 최씨를 움직일 수 없을 때 수실 잠깐만 비켜 주 오자 땀만 하고 다리 이렇게 8.1 그러면은 팔짝 모르게 밀리지도 않았어요 그냥 밀 것 같은 느낌 만들어온 화들짝 놀라 하더라구요 아마 이유는 살면서 우리 최씨는 에 가끔씩 좀 의자에 나 1만 좀 제가 다리를 한두번씩 이렇게 좀 모르고 이제 밟을 때가 있었거든요 아마 그 그 기억의 쌓여 있는 것 같아요 그래서 이제 발로 만져주는 좋아하는 친구도 있는거고 얹으면 조금 싫어하는 친구가 있다면 한두번씩 발에 밟혀 벗거나 치 얻거나 이제 그럴 때에 이렇게 놀라는 친구들이 있는데요 단 이 논란은 친구들이 있으니까 조금 주인을 하자구요 4 [음악] wee,
66,https://www.youtube.com/watch?v=hW6Q5STcrEc,hW6Q5STcrEc,[Eng sub] Will they think they're receiving greater compliments when given larger treats?,강형욱의 보듬TV,5 4 5 5 슌 아 맞는데 [음악] 어 박지헌 님이 주시 사연입니다 저 정말 궁금한게 강아지 칭찬 명으로 간식을 하나씩 줄 때 말이에요 큰 간식을 주면 더 큰 칭찬을 받았다고 생각할까요 이루신 분이 있어요 간식을 막 3개씩 주세요 어 그룹의 를 강아지한테 기뻐한다 고 생각하시는 거죠 그런데 실제로 엄 아무리 교육은 이렇게 많이 합니다 이제 이거 아 마지막으로 한번 하고 끝내야지 라고 생각할 때는 나머지 간식을 잘 할 때다 둬요 그렇게 하면 강아지가 정말 기분도 좋아 하고 그 교육 자체를 즐겁게 이렇게 흘러 않은 경우들이 많아요 만약에 대박 맛있는 간식이나 많이 주는 단식은 교육 중심 쪽에 되잖아요 그걸 주문한 다음에 보상 여기 타국 떨어져요 그래서 라는 하면 마지막에 하는게 전반적인 교육을 할 때 효과가 좋습니다 그리고 또 하나 소고기를 말려 있거나 뭐 닭고기를 많이 했거나 키나 좋아하는 것을 이렇게 새로운 걸 배울 때는 좋아요 그런데 그 새로운 걸 배운 것을 이제 강화해 나갈 때 반복해서 가서 칭찬해야 될 때는 조금은 그것보다 희가 나진 조금은 쌍 간식들 있잖아요 우리를 시중에서 많이 차는 거 그런 것들로 주기도 해요 제가 팁을 하나 드리면 은 우리 강아지가 좋아하는 음식 보상의 순위를 둔 매겨 놓고 있으시면 훨씬 더 좋을 수 있어요 평상시에는 뭐에 이라는 간식을 주고 어 너무 자랄 때는 비라고 않은 정말 좋은 간식을 이렇게 주는 거에요 그렇게 되면 강아지 되요 와 내가 정말 잘했구나 우리 별로 전임 나한테 정말 괴뢰 방 맛있는 간식 줬어 라고 생각할 수 있으니까 그렇게 해주시면 도움이 됩니다 한번 해 보시면서 보호자 님이 실력을 쌓아 하시면 소식으로 내 강아지가 좋아하는 게 어느게 어떻게 칭찬하는 걸 좋아한 알아낼 수 있을 거에요 왜냐면 어떤게 들 먹는 것을 좋아하는데 경험을 주면은 정말 먹는게 10배는 기뻐하게 되고 있어요 한번 찾아보세요 도움이 될겁니다 가장 재밌게 보았던 소상 팬에 썸네일을 캡쳐해서 테스트 그 아니고 인스타 에 올려 주시면 저희가 30여 명을 뽑아서 어 선물을 드립니다 여기부터 이제 보십시오 애꾸 주의를 님의 들어올 테니까 만든 참가 부탁드리구요 어 저번에 3배의 제품들도 못합니다 이번에 한번 더 기회가 있으니까 한번 해보자구요 [음악] 으 으,
67,https://www.youtube.com/watch?v=pX9bosgIRbQ,pX9bosgIRbQ,[Eng sub] Do dogs feel they're being bothered when they're being treated? ｜Hunter Kang’s Q&A,강형욱의 보듬TV,5 4 5 4 도씨 냉 빨고 그럴 수도 있어요 4 에 어 진 착 진천 님이 주신 사인입니다 강아지들이 아파서 병원에 갈때 게 상아 지들은 본인을 치료해 주는 게 아니라 괴롭힌다고 느낄까요 아 이게 기본적으로 개들이 치료라고 하는 개념이 없어요 딱 요리는 뭐 스스로 교정도 하잖아요 아오 내가 자세가 안 좋네 자세 좀 바르게 해서 어 허리 통증을 완화시켜 야지 뭐 이런거 있잖아요 그런데 걔들은 기본적으로 그렇지가 않아요 만약에 허리가 삐뚤어져 허리 통증이 있어도 노력해서 좀 교정 좀 해봐야지 얘들을 그렇지가 못합니다 그렇다 보니까 자기가 어딘가 다쳤을 때 나를 진료하는 아무런 선생님 한테 도입 말도 보이고 요령도 버리고 이제 그런데 병원에 가서 무서움 만 느끼는 게 아니라 병원에서 재민 들이 재미있는 일이 있었다 라는 게 조금 더 크면 한 두번의 무서운 일들은 이렇게 넘길 수 있어요 그래서 우리가 해야 되는게 있는데요 예 진료받을 때 우리 병원 많이 하잖아요 병원에 가면 추석 만든다 따운 소독한다 이런걸 좀 느낄 수 있으니까 평상시에 뭐 강아지 간식 하나 사러 갈 때에도 변하지 하고 병원을 놀러 가는 것처럼 이렇게 갈 수 있으며 는 저는 훨씬 더 좋겠다 라는 생각이 들어요 으 아 프 치유를 할 때만 뭐 주사를 맞을 때만 병원에 가면 어떤 강아지들은 정말 괴롭힘을 당한다 라고 느낄 수도 있으니 이런 것들을 주의하면 좋겠어요 가장 재밌게 보았던 소상 팬에 썸네일을 캐치해서 스택은 아니고 비스타에 올려 주시면 저희가 3명을 뽑아서 어 선물을 드립니다 여기 밑에 이제 보십시오 애꾸 주의를 이벤트 될테니까 만든 창과 부탁드리구요 어 저번에 참배 있었던 즐거운 감사합니다 이번에 한번 더 기회가 있으니까 한번 해보자구요 [음악] 으 아 으 [음악] 아,
68,https://www.youtube.com/watch?v=Crl9AoWHckw,Crl9AoWHckw,[Eng sub] Is there a way to tell my dog that I love her?,강형욱의 보듬TV,5 4 아 아 아 아 아 아 아 1 6 아 어 박해미 님 저는 가끔 가다 여름이 가 너무 사랑스러워서 쉽게 앉거나 뽀뽀 이룰 때가 있는데요 강아지를 껴안으면 싫어 한다고 들었습니다 저는 사랑을 어떻게 전달할 수 있을지 알려주세요 제가 이제 훈련 자로써 진짜 알려드리고 싶은 방법이 있어요 어 건강하신 거에요 밝은 든요 둘이 보호자가 얼마나 건강한지 를 항상 염려하고 걱정합니다 이 건강하다는 한계를 다양한 의미 잖아요 좋은음식 드시고 운정 도와주고 좋은 생각 많이 하시고 그러면은 반려견 들이 되게 편안해요 아 우리 보호자 가지 오니까 나도 그냥 좋아 우리도 한번 생각해보세요 어렸을 때 어머니 아버지가 줘 기분이 좋으면 당연히 우리는 기분이 좋았어요 오냐 아버지가 얼굴표정이 하려면 그런것처럼 여러분의 먼저 건강 하는거 그리고 또 여러분이 건강한 사회 생활을 하고 있는 것 정말 사실 내 활력있는 요 우리 보전이 나만 바라보게 숨 그렇게 살기를 바라지 않고요 정말 인간으로서 어딘가에 일원으로써 정말 건강하고 행복하게 살기를 바랍니다 그리고 또 그 보호자가 누리고 있는 행복을 자기 하게 쪼꼼 줬으면 좋겠어 하는 거지 당신은 어 나한테 헌신의 나한테 무조건 정성을 좀 라고 하는 개는 절대 없어요 그렇기 때문에 우리 박해 비님 황금 하시고 행복하시고 항상 웃으시고 16 분들하고 행복하게 잘 하시면 아마 박 개빈 님의 여름에는 너무 행복할 거고 정말 하는 말로 들어오는 없을 겁니다 가장 재밌게 보았던 소상 팬에 썸네일을 캡쳐해서 테스트 태그 아니고 인스타일 오리를 주시면 저희가 3명을 뽑아서 어 선물을 드립니다 여기부터 이제 보십시오 꾸즈 a 를 입에 드릴테니까 만든 참가 부탁드리구요 어 저번에 3배 잊었던 분들 넘 감사합니다 이번에 한번 더 기회가 있으니까 한번 해보자구요 [음악] 아 아 아,
69,https://www.youtube.com/watch?v=4q0A8deu5mc,4q0A8deu5mc,"[Eng sub] My dog barks when I'm doing a face mask, can't he recognize me?｜Hunter Kang’s Q&A",강형욱의 보듬TV,5 4 co 이렇게 넘어 필요 거야 빠 더 검사라 보기도 합니다 아 하늘은 이미 주신 4 이래요 팩을 할때 강아지가 짓거나 의 롱 되거나 그런데 제가 아니라고 해서 그런건가요 아니면 제 얼굴에 뭐가 더 파에서 짓는 건가요 어떻게 해 줘 충격적 2시 겠지만 아마 못 알아보는 걸 겁니다 겨울에 우리가 가끔씩 후부키 같은거 있지 않습니까 이제 그것만 해도 오더라고 로 걔들이 있어요 그리고 또 이제 모자 써도 모자도 줘 우리 그냥 일반 캠 말고 뭐라 그러죠 뭐 있자니 거 이거 뭔 지르고 그 다소 했는데 [음악] 으 분담 소처럼 보자 그런거 그리고 아주 큰 거에요 그런거 하면은 그런가하면 강아지 내 못알아 볼 가능성이 커 실제로 그래요 꿈은 어쩌면 예민할 수도 있는 강아지 인데요 몸에 약간 묽게 있잖아요 그렇게 묽게 해서 팔지 않아요 강아지가 오히려 는 지금 보호자가 아픈지 하거든요 보호자가 먹어 문제가 생긴거 여서 계속 핥아 줘 간식을 하나씩 주면서 이게 이렇게 이렇게 해봐요 [음악] 이렇게 게 어 간식을 주면서 죽으 난 다음에도 나야 난 해가지고 이렇게 줘 보세요 그러면 공부 잘하는 걸 인지한 은 강아지 상당히 많습니다 여하튼 조금 예민한 그럴 수 있습니다 예 문제 아니에요 [음악] be a 으 으 [음악],
70,https://www.youtube.com/watch?v=eDiQXzD0on8,eDiQXzD0on8,"[Eng sub] We're newlywed, are we allowed to get intimate in front of our puppy?｜Hunter Kang’s Q&A",강형욱의 보듬TV,5 co 4 5 그래요 하셔야죠 고 불러 불루 신 것 같아요 하여튼 강아지가 주 인기 리 애정행각 하는 것을 지켜봐도 되는건지 궁금합니다 저희는 신혼 이에요 저랑 남편이 뽀뽀만 하면 막 하울링 하면서 남 편입을 할 타요 그리고 그 외에 스킨십을 할 때 빻아 아니 아니 쳐다보기도 하고 그래서 민망합니다 문을 닫으면 열라고 그렇고 어떻게 해야 할까요 어 예전에 저희 그 향 담을 직접 했는데요 넌 당당하게 하라고 했구요 만약 강아지가 이러면 어 대고 4 시라 내보내고 충분히 사랑 하시라 라고 했었던 냐 기억이 납니다 어 보호자인 님들이 목격하게 하는거 문화 그게 개들이 이렇게 불어요 왜 뭐라고 이렇게 않은 뿜어 하면 되지 뭘 더 1 적당히 하시면 괜찮습니다 되면은 뭐 따로 응답과 전 아니 포터 이게 안 좋고 안 하는데 이런거 아니에요 마을이 까지 하는 얼마나 술 더 5 하겠어 이게 딱 서로가 서로를 묻나 라고 해야 하는 경우들이 많아요 서로마 싸운다고 생각하는 경우들이 많아서 강아지가 말리려고 중간에 끼어 들기도 하고 또 심지어 이게 심하며 는 이제 막 중간에 이제 쇼파에 더 갖지 못 함께 한 개도 되었어요 조금 좀 애정행각을 적금 좀 부드럽게 해 주십시오 아머 강아지가 마음이 아프지 않을까 생각이 들고요 괜찮아요 그리고 아마 이게 분리되는 연습을 좀 못했을 게 있는데요 혹시 어 좀 떨어져서 자는 연습도 해 보셨나요 가끔씩은 거실에서 강아지 혼자 자기들 할 수 있어야 되거든요 출산 을 준비 중이신 분 이 시거나 4 그렇다면은 같이 자지 않고 거실의 서면 자기 하는 연습을 어 그 전에 미리 어색해 놓으시면 은 이런 문제라든지 예방할 수 있으니까 너무 걱정하지 마시구요 지금부터 어 제가 말씀 드린 거 하나씩 한번 해보세요 그러면 도움이 될겁니다 꼭 좋은 2세 갖기를 바랍니다 잎을 거야 축복이 으 er [음악] 아,
71,https://www.youtube.com/watch?v=ylb2TdDcLJ4,ylb2TdDcLJ4,[Eng sub] Do dogs understand when I tell them not to bark?｜Hunter Kang’s Q&A,강형욱의 보듬TV,5 4 으 5 1 아 아저 알아듣는데 좀 제문 알아들을 수가 있어요 주 약해 인 님 유야 k 님이 주신 사회 이에요 강아지한테 주지 마 하지 마 하면 알아 듣나요 어 이게 끝이 찜 아 하지마 그 음 색만 해볼게요 어 하 지 말 거야 그 그 래 어 이제 보통 이렇게 하잖아요 지금 느낌이 어떻습니까 아주 막 기분 좋게 와서 막 뭔가 나한테 어 이뻐 주는 그런 느낌은 아니잖아요 내가 너를 너무 좋아하는데 다시금 은 짓지 않아 줬으면 좋겠어 이거는 모르고 그냥 우리 보호자가 나한테 화난 파 냅니다 이 걸 알기 때문에 어이 강아지와 앓았던 데요 라고 하시는 분들은 그 개가 그냥 쭉 무서운 거예요 겁나는 거죠 그래서 적는 이유는 상관없이 그냥 겁을 주니까 그지 젓더니 후보다 지금 보고 자가 나한테 하는 그 행동이 조금 더 겁나서 몸짓 할 수 있어요 확 토리를 한 거죠 그래서 듣지 말하고 있을 때 강아지한테 교육적 효과 보다 소리를 지르는 사람이 소리지르는 벌어 시가 생길수가 있어요 한마디로 이 방법은 강아지 1 3 5 되기 없고 보유자 1 3 5 들게 없어 그래서 보자 님은 계속 소리 지르는 사람이 될 가능성이 크니까 가능하면 필요 하시면 어떨까 합니다 4 암 아저씨에 캔이 기회로 하는 분들이 궁금해 하셨을 겁니다 감사합니다 [음악] 으 [음악],
